category_code,country_code,state_code,age,success,number_degrees
health,USA,California,1189.0,0,
network_hosting,other,other,1097.0,0,
education,USA,other,93.0,0,
games_video,USA,California,1.0,0,
web,USA,California,1151.0,0,
education,other,other,731.0,0,
advertising,USA,California,1219.0,0,
analytics,USA,California,1097.0,0,
software,USA,other,1346.0,0,
government,USA,other,242.0,0,
ecommerce,USA,other,1097.0,0,
mobile,other,other,884.0,0,
web,USA,other,1006.0,0,
other,other,other,672.0,0,
software,USA,other,486.0,1,
web,USA,California,915.0,0,
finance,other,other,1097.0,0,
advertising,USA,California,1066.0,0,
photo_video,USA,other,25.0,1,
advertising,other,other,672.0,0,
enterprise,USA,California,1232.0,1,
software,other,other,580.0,0,
enterprise,USA,California,289.0,1,
web,USA,California,618.0,1,23.0
web,USA,California,1250.0,0,
software,USA,other,1066.0,0,
games_video,USA,other,923.0,0,
web,USA,California,970.0,1,
travel,USA,other,399.0,1,
games_video,USA,other,1431.0,0,
ecommerce,USA,other,1431.0,0,
social,USA,other,411.0,0,
software,USA,California,123.0,1,
transportation,USA,other,945.0,0,
hospitality,USA,other,731.0,0,
advertising,USA,other,154.0,0,
hospitality,USA,other,1066.0,0,
games_video,USA,California,1403.0,0,
web,other,other,731.0,1,
web,USA,other,906.0,0,
games_video,other,other,1097.0,0,
mobile,USA,California,1.0,0,
transportation,USA,other,1.0,0,
public_relations,USA,California,1219.0,0,
biotech,other,other,1401.0,0,
web,USA,California,1006.0,0,
other,USA,other,1285.0,0,
analytics,USA,other,212.0,0,
advertising,USA,California,1342.0,0,
medical,other,other,1097.0,0,
web,other,other,1427.0,0,
web,USA,other,47.0,0,
mobile,other,other,1006.0,0,
medical,USA,other,427.0,0,
games_video,other,other,1425.0,0,
enterprise,USA,California,1.0,0,
advertising,USA,other,1083.0,0,
web,USA,California,532.0,1,
games_video,other,other,18.0,0,
ecommerce,USA,California,506.0,0,
health,USA,other,1097.0,0,
web,USA,other,406.0,1,
other,other,other,663.0,0,
enterprise,other,other,1311.0,0,
advertising,other,other,397.0,0,
mobile,USA,California,1.0,0,
advertising,USA,other,366.0,1,
mobile,USA,California,324.0,0,
web,other,other,123.0,0,
web,USA,other,1403.0,1,
social,USA,California,1.0,0,
web,USA,other,366.0,0,
software,other,other,276.0,0,
mobile,USA,California,366.0,0,
web,other,other,291.0,0,
mobile,other,other,93.0,0,
web,other,other,1.0,0,
web,USA,California,1.0,0,
advertising,other,other,1284.0,0,
medical,other,other,1097.0,0,
software,USA,California,1274.0,1,
social,USA,other,601.0,0,
web,USA,other,246.0,0,
enterprise,USA,other,1175.0,0,
finance,other,other,721.0,1,
web,USA,California,424.0,1,
biotech,USA,California,1097.0,0,
mobile,other,other,366.0,0,
mobile,other,other,908.0,0,
web,USA,California,1431.0,0,
enterprise,other,other,1128.0,0,5.0
education,other,other,474.0,0,
travel,other,other,84.0,0,
network_hosting,USA,other,1403.0,0,
software,USA,California,1097.0,0,
software,other,other,1281.0,0,
web,USA,California,199.0,1,
ecommerce,USA,other,1097.0,0,
mobile,USA,California,1097.0,0,
messaging,USA,other,792.0,0,
advertising,USA,other,519.0,1,
hardware,other,other,1097.0,0,
music,USA,other,1097.0,0,
web,other,other,1128.0,0,
enterprise,other,other,1453.0,0,
games_video,USA,other,366.0,0,
advertising,USA,California,741.0,1,
games_video,other,other,1020.0,0,
games_video,USA,other,823.0,0,
software,USA,California,976.0,0,
public_relations,USA,other,1097.0,0,
mobile,USA,California,1097.0,0,
software,USA,other,1.0,0,
software,USA,California,1275.0,0,
ecommerce,USA,California,1006.0,0,
web,other,other,1097.0,0,
ecommerce,other,other,1097.0,0,
advertising,USA,California,1006.0,0,
web,other,other,829.0,1,
enterprise,other,other,504.0,1,
mobile,other,other,366.0,0,
advertising,USA,other,62.0,1,
web,other,other,1002.0,0,
web,USA,other,1205.0,1,
enterprise,USA,California,1448.0,1,21.0
mobile,USA,other,1158.0,0,
web,other,other,1189.0,0,
enterprise,USA,California,1097.0,0,
messaging,USA,California,1.0,0,
web,USA,California,945.0,0,
web,USA,other,877.0,0,
other,USA,other,1219.0,0,
fashion,USA,California,335.0,0,
software,USA,other,1250.0,0,
web,other,other,621.0,1,
web,other,other,621.0,1,
public_relations,USA,California,945.0,0,
mobile,USA,California,283.0,1,
mobile,USA,other,32.0,0,
web,other,other,281.0,0,
ecommerce,USA,other,945.0,0,
music,other,other,1311.0,0,
web,USA,other,462.0,1,
biotech,USA,California,366.0,0,
ecommerce,USA,other,366.0,0,
cleantech,USA,California,731.0,0,
music,USA,other,314.0,0,
web,USA,California,1099.0,1,
social,USA,California,853.0,0,
games_video,USA,California,1006.0,0,
education,USA,other,853.0,0,
web,USA,California,1431.0,0,
enterprise,USA,California,1006.0,0,
enterprise,other,other,307.0,0,
mobile,USA,other,1281.0,0,
music,USA,California,838.0,0,
music,other,other,140.0,0,
enterprise,USA,California,1431.0,0,
software,USA,other,1140.0,1,27.0
enterprise,USA,California,1045.0,1,
web,USA,California,1216.0,0,
enterprise,other,other,962.0,0,
security,USA,California,843.0,1,
games_video,other,other,904.0,0,
sports,USA,California,1431.0,0,
ecommerce,USA,other,519.0,0,
search,other,other,1219.0,0,
web,USA,other,782.0,1,136.0
web,other,other,1189.0,0,
nonprofit,USA,California,659.0,0,
games_video,USA,other,1097.0,0,
web,USA,other,1431.0,0,
security,USA,other,1041.0,1,
games_video,USA,California,1224.0,0,
web,USA,California,1097.0,0,
software,other,other,61.0,0,
mobile,other,other,276.0,0,
advertising,USA,California,1403.0,0,
security,other,other,1117.0,0,
web,other,other,93.0,0,
advertising,USA,California,1128.0,0,
cleantech,USA,California,1097.0,0,
web,other,other,792.0,0,
software,USA,other,1066.0,0,
mobile,USA,other,915.0,0,
enterprise,USA,other,540.0,1,
search,USA,other,829.0,0,
music,USA,California,1097.0,0,31.0
web,USA,California,1431.0,0,
other,other,other,1189.0,0,
finance,other,other,1.0,0,
games_video,other,other,1201.0,0,
health,USA,other,762.0,0,
advertising,USA,other,1311.0,0,
ecommerce,USA,other,262.0,1,
ecommerce,other,other,658.0,0,
games_video,other,other,853.0,0,
network_hosting,other,other,28.0,1,
games_video,USA,other,427.0,1,
mobile,USA,other,366.0,0,
cleantech,other,other,731.0,0,
music,other,other,1196.0,0,
transportation,other,other,13.0,0,
games_video,other,other,472.0,0,
fashion,other,other,366.0,0,
travel,USA,other,1281.0,0,24.0
ecommerce,other,other,633.0,0,
web,USA,California,356.0,1,
cleantech,other,other,94.0,0,
mobile,other,other,580.0,0,
advertising,other,other,276.0,0,
advertising,other,other,1431.0,0,
other,USA,California,366.0,0,
games_video,USA,California,1311.0,0,
ecommerce,USA,other,915.0,0,
consulting,other,other,1210.0,0,
other,USA,California,945.0,0,
software,other,other,1070.0,0,
sports,other,other,37.0,0,
real_estate,USA,other,948.0,0,
advertising,USA,California,1.0,0,
ecommerce,USA,California,1152.0,0,
cleantech,other,other,1097.0,0,
consulting,USA,other,366.0,0,
web,USA,California,1431.0,0,
ecommerce,other,other,366.0,0,
public_relations,USA,other,945.0,0,
consulting,USA,other,1244.0,0,
education,USA,other,488.0,0,
transportation,other,other,1403.0,0,
photo_video,USA,other,1403.0,0,
advertising,other,other,863.0,0,
enterprise,other,other,1093.0,0,
mobile,USA,other,551.0,1,
web,other,other,1443.0,0,
advertising,other,other,1281.0,0,
search,USA,other,1250.0,0,
games_video,other,other,39.0,0,
social,other,other,48.0,0,
software,USA,California,539.0,1,
web,other,other,923.0,0,
games_video,USA,California,717.0,0,
advertising,other,other,1403.0,0,
web,USA,California,1338.0,0,
ecommerce,USA,other,1.0,0,
mobile,USA,other,1097.0,0,
advertising,USA,other,1151.0,1,
web,other,other,1250.0,0,
nonprofit,USA,other,1097.0,0,
mobile,other,other,215.0,0,
advertising,USA,other,976.0,0,
enterprise,USA,California,811.0,0,40.0
photo_video,USA,California,1097.0,0,32.0
consulting,other,other,963.0,0,
social,other,other,976.0,0,
games_video,USA,California,884.0,0,
finance,USA,California,1037.0,0,
hardware,USA,other,1097.0,0,
web,USA,California,1026.0,1,
enterprise,USA,California,1006.0,0,
web,USA,California,1006.0,0,
mobile,USA,California,123.0,0,
web,other,other,823.0,0,
web,USA,California,119.0,1,
enterprise,USA,other,1119.0,1,
enterprise,USA,California,396.0,1,
social,other,other,93.0,0,
enterprise,USA,California,123.0,0,
mobile,USA,other,869.0,1,
advertising,other,other,271.0,0,
games_video,USA,other,1372.0,0,
web,USA,other,386.0,1,
games_video,other,other,1372.0,0,
games_video,USA,California,1311.0,0,
advertising,USA,California,672.0,0,10.0
network_hosting,other,other,1006.0,0,
web,USA,California,403.0,0,
software,USA,California,712.0,1,
games_video,USA,other,1448.0,0,
advertising,USA,California,572.0,1,
mobile,other,other,1218.0,1,
ecommerce,other,other,1090.0,0,
games_video,USA,other,1189.0,0,
web,USA,other,927.0,1,
web,other,other,1028.0,0,
advertising,USA,California,519.0,0,
search,USA,California,1264.0,0,
analytics,USA,other,976.0,0,
software,other,other,976.0,0,
web,USA,California,1403.0,0,
mobile,USA,other,1250.0,0,
security,USA,other,1354.0,1,7.0
games_video,USA,California,1189.0,0,
photo_video,USA,other,168.0,0,
web,USA,California,1097.0,0,
search,USA,other,838.0,1,23.0
advertising,USA,other,1097.0,0,
social,other,other,1311.0,0,
mobile,other,other,427.0,0,
web,USA,California,995.0,1,
finance,USA,California,1066.0,0,
web,other,other,792.0,0,
mobile,USA,California,366.0,0,
education,other,other,1066.0,0,
web,other,other,731.0,0,
software,other,other,155.0,0,
travel,other,other,46.0,0,
sports,USA,other,1311.0,0,
games_video,other,other,673.0,0,
music,USA,California,877.0,0,
analytics,USA,California,366.0,0,
real_estate,other,other,1311.0,0,
web,USA,other,1.0,0,
software,USA,other,882.0,1,
web,USA,California,1361.0,0,
web,USA,California,849.0,1,
enterprise,USA,other,1432.0,1,
ecommerce,other,other,1281.0,0,
web,USA,California,670.0,1,
advertising,other,other,585.0,0,
enterprise,USA,other,1097.0,0,23.0
health,USA,California,1.0,0,
advertising,other,other,1358.0,0,
enterprise,other,other,366.0,0,
software,USA,California,1066.0,0,
web,USA,other,792.0,0,
web,USA,other,326.0,0,
consulting,other,other,1037.0,0,
finance,USA,other,945.0,0,25.0
software,USA,California,839.0,0,
web,USA,California,976.0,0,
mobile,USA,other,1006.0,0,
news,USA,other,1193.0,0,
mobile,other,other,731.0,0,
enterprise,other,other,1006.0,0,
web,other,other,1311.0,0,
hardware,other,other,1083.0,0,
medical,USA,California,1097.0,0,
mobile,USA,California,123.0,0,
search,USA,California,1308.0,1,
advertising,USA,other,1042.0,1,
web,other,other,1342.0,0,
music,other,other,851.0,1,20.0
news,other,other,215.0,0,
enterprise,USA,other,1342.0,0,
social,USA,other,366.0,0,
transportation,other,other,1066.0,0,
web,USA,California,1219.0,0,
other,USA,other,1250.0,0,
mobile,other,other,261.0,0,
games_video,other,other,84.0,0,
games_video,USA,other,1097.0,0,
web,other,other,817.0,0,
web,other,other,1357.0,0,
public_relations,USA,California,1431.0,0,
education,USA,other,731.0,0,
analytics,other,other,1.0,0,
security,USA,other,106.0,1,
web,other,other,371.0,0,
software,other,other,154.0,0,
web,USA,California,1.0,0,
web,other,other,93.0,0,
software,USA,California,1249.0,1,11.0
software,USA,California,700.0,0,
network_hosting,USA,other,687.0,1,8.0
software,other,other,1006.0,0,
mobile,other,other,366.0,0,
advertising,other,other,731.0,0,
